iter	Logloss
133	0.4187926366
134	0.4181448234
135	0.4169574412
136	0.4155966188
137	0.4135989322
138	0.4125744926
139	0.4113442455
140	0.4109785963
141	0.4098186658
142	0.409079078
143	0.408140258
144	0.4068838184
145	0.4063444291
146	0.405513851
147	0.4045732083
148	0.4036862408
149	0.402483143
150	0.4014144073
151	0.4005312263
152	0.3993072312
153	0.3989610802
154	0.3978937076
155	0.3967442106
156	0.3962285396
157	0.3956403828
158	0.3950694652
159	0.3945452467
160	0.3937061936
161	0.3930157499
162	0.3921341661
163	0.3914843656
164	0.3900598041
165	0.3897811215
166	0.3887602172
167	0.3878371377
168	0.3870238156
169	0.3867918776
170	0.386531106
171	0.3863290883
172	0.3860823133
173	0.3852181659
174	0.3846214997
175	0.3844157977
176	0.3834088324
177	0.3825392552
178	0.3820809326
179	0.3812145453
180	0.3802366976
181	0.379737833
182	0.3791683756
183	0.378728061
184	0.3783055043
185	0.3780187089
186	0.3774917141
187	0.3767356196
188	0.3764537038
189	0.3756047111
190	0.3741426709
191	0.3739466046
192	0.3725369286
193	0.3721163906
194	0.3711259228
195	0.3704564887
196	0.3699226358
197	0.3683070674
198	0.3677297039
199	0.3670085282
200	0.3656472526
201	0.3649816732
202	0.3639925054
203	0.3626357402
204	0.3620133197
205	0.3619417203
206	0.3609819839
207	0.3602905104
208	0.3597300389
209	0.3589081107
210	0.358437924
211	0.3584363228
212	0.3578705708
213	0.3570223003
214	0.3564630909
215	0.3557551778
216	0.3553830267
217	0.3551674392
218	0.3545956077
219	0.3530576586
220	0.3527105852
221	0.3521279404
222	0.351582595
223	0.3512777141
224	0.3508652103
225	0.3501331464
226	0.3500132438
227	0.3497733413
228	0.3490681505
229	0.3486768888
230	0.3483809011
231	0.3477911023
232	0.3471406516
233	0.34686253
234	0.3462292834
235	0.3457093975
236	0.3447053467
237	0.344690177
238	0.3446896754
239	0.3441682061
240	0.3440204786
241	0.3424863252
242	0.3420351258
243	0.3415082691
244	0.3402092265
245	0.3400684752
246	0.3396718204
247	0.3394428294
248	0.3392937808
249	0.3387318893
250	0.338096292
251	0.3377856404
252	0.3373300824
253	0.3361114699
254	0.3356020357
255	0.3339742228
256	0.3336462057
257	0.3335059244
258	0.3334102873
259	0.3330895543
260	0.3329078308
261	0.3327203746
262	0.3320529085
263	0.3314215396
264	0.3311540463
265	0.3301568754
266	0.329778241
267	0.3292273658
268	0.3288911194
269	0.3285991354
270	0.3280316417
271	0.3276452888
272	0.326990827
273	0.3257755071
274	0.3255292909
275	0.3244946591
276	0.3234759613
277	0.3232466263
278	0.3227586264
279	0.3217193609
280	0.3214992684
281	0.321380659
282	0.3211166883
283	0.32041713
284	0.3191684148
285	0.3181531947
286	0.3173609357
287	0.317046561
288	0.316253189
289	0.3160397861
290	0.3150547486
291	0.3146524824
292	0.3139444283
293	0.3134090889
294	0.3133614072
295	0.3130570254
296	0.3127153642
297	0.3116593705
298	0.3114107619
299	0.3109741333
300	0.3104807412
301	0.3104314302
302	0.3102789733
303	0.3095319768
304	0.3083904374
305	0.3079304577
306	0.3069087134
307	0.3066569123
308	0.3061166447
309	0.3059938641
310	0.3058723592
311	0.3052093023
312	0.3048409612
313	0.3035071194
314	0.3033170181
315	0.303181814
316	0.3026483222
317	0.3025015701
318	0.3022802202
319	0.3020419229
320	0.3016175659
321	0.3013086204
322	0.3005988793
323	0.3004203392
324	0.2998515129
325	0.2982497492
326	0.2980503733
327	0.297732992
328	0.2971851574
329	0.2970487853
330	0.2963541666
